2025-06-24 15:22:43,183 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:22:43', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152241_428694.mp4'}
2025-06-24 15:23:04,612 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:04', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_152257_585371.mp4'}
2025-06-24 15:23:05,148 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:05', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152301_883887.mp4'}
2025-06-24 15:23:10,459 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:10', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152307_893140.mp4'}
2025-06-24 15:23:10,879 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:10', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_152300_991365.mp4'}
2025-06-24 15:23:16,544 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:16', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_152308_013466.mp4'}
2025-06-24 15:23:25,005 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:25', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_152317_216533.mp4'}
2025-06-24 15:23:30,518 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:30', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_152320_937965.mp4'}
2025-06-24 15:23:32,591 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:32', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_152330_694217.mp4'}
2025-06-24 15:23:38,796 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:38', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152336_849157.mp4'}
2025-06-24 15:23:49,930 - LOG ±â·ÏµÊ: {'time': '2025-06-24 15:23:49', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_152344_263064.mp4'}
